Formula SMILES Hf_298K_G4 Acyclic Alicyclic Conjugated Heterocyclic Hydrocarbon N-containing O-containing S-containing Cl-containing Sparse_Fragment_Containing
C6H12 C1CCCCC1 -28.56864268 0 1 0 0 1 0 0 0 0 0
C6H12 CC1CCCC1 -24.55007504 0 1 0 0 1 0 0 0 0 0
C6H12 CC(C)=C(C)C -14.53440389 1 0 0 0 1 0 0 0 0 0
C6H12 CC\C(C)=C\C -13.73683995 1 0 0 0 1 0 0 0 0 0
C6H12 CC\C(C)=C/C -13.76947042 1 0 0 0 1 0 0 0 0 0
C6H12 C/C=C/C(C)C -13.96211568 1 0 0 0 1 0 0 0 0 0
C6H12 CCCC(C)=C -13.12376366 1 0 0 0 1 0 0 0 0 0
C6H12 C\C=C/C(C)C -12.57406578 1 0 0 0 1 0 0 0 0 0
C6H12 CC\C=C\CC -11.76395166 1 0 0 0 1 0 0 0 0 0
C6H12 CC(C)CC=C -11.86686313 1 0 0 0 1 0 0 0 0 0
C6H12 CCC\C=C/C -10.78880267 1 0 0 0 1 0 0 0 0 0
C6H12 CCCCC=C -9.751530293 1 0 0 0 1 0 0 0 0 0
C6H12 CCC1CCC1 -6.128920836 0 1 0 0 1 0 0 0 0 0
C6H12N2 CCN(CC)CC#N 17.41676799 1 0 0 0 0 1 0 0 0 0
C6H12N2 C1CN2CCN1CC2 23.40132132 0 0 0 1 0 1 0 0 0 0
C6H12N2 CC1(C)N=NC1(C)C 35.90067309 0 0 0 1 0 1 0 0 0 0
C6H12N4 C1N2CN3CN1CN(C2)C3 45.51942716 0 0 0 1 0 1 0 0 0 1
C6H12O CC(C)CC(C)=O -67.58186346 1 0 0 0 0 0 1 0 0 0
C6H12O CC(=O)C(C)(C)C -69.74237695 1 0 0 0 0 0 1 0 0 0
C6H12O CCC(=O)C(C)C -67.86926259 1 0 0 0 0 0 1 0 0 0
C6H12O CC1(O)CCCC1 -67.82784699 0 1 0 0 0 0 1 0 0 0
C6H12O CCC(C)C(C)=O -66.91921396 1 0 0 0 0 0 1 0 0 0
C6H12O CCCCC(C)=O -66.72217613 1 0 0 0 0 0 1 0 0 0
C6H12O CCCC(=O)CC -66.69080068 1 0 0 0 0 0 1 0 0 0
C6H12O CCCCOC=C -41.16310706 1 0 0 0 0 0 1 0 0 0
C6H12O2 CCCCOC(C)=O -115.6330964 1 0 0 0 0 0 1 0 0 0
C6H12O2 CC(=O)OC(C)(C)C -122.231981 1 0 0 0 0 0 1 0 0 0
C6H12O2 CCCCCC(O)=O -118.0653213 1 0 0 0 0 0 1 0 0 0
C6H12O2 COC(=O)CC(C)C -115.2440408 1 0 0 0 0 0 1 0 0 0
C6H12O2 COC(=O)C(C)(C)C -116.9778482 1 0 0 0 0 0 1 0 0 0
C6H12O2 CCC(C)C(=O)OC -114.0900517 1 0 0 0 0 0 1 0 0 0
C6H12O2 CCCC(=O)OCC -115.8790799 1 0 0 0 0 0 1 0 0 0
C6H12O2 CCCCC(=O)OC -113.1814187 1 0 0 0 0 0 1 0 0 0
C6H12O2 CC1(C)COCOC1 -97.11530579 0 1 0 0 0 0 1 0 0 0
C6H12O2 CC1COCOC1C -95.02005324 0 1 0 0 0 0 1 0 0 0
C6H12O2 CC(C)OCC1CO1 -69.12463934 0 1 0 0 0 0 1 0 0 0
C6H12O2 CCCOCC1CO1 -65.73420821 0 1 0 0 0 0 1 0 0 0
C6H12O2 OOC1CCCCC1 -50.91934823 0 1 0 0 0 0 1 0 0 0
C6H12O3 CC1OC(C)OC(C)O1 -144.0803206 0 0 0 1 0 0 1 0 0 0
C6H12O3 CCOCOC(=O)CC -148.6856092 1 0 0 0 0 0 1 0 0 0
C6H12S SC1CCCCC1 -21.7116795 0 1 0 0 0 0 0 1 0 0
C6H12S CSC1CCCC1 -14.57250961 0 1 0 0 0 0 0 1 0 0
C6H13N NC1CCCCC1 -22.6263317 0 1 0 0 0 1 0 0 0 0
C6H13N CC1CCCCN1 -17.31886057 0 0 0 1 0 1 0 0 0 0
C6H13N C1CCCNCC1 -9.163126101 0 0 0 1 0 1 0 0 0 0
C6H13NO CCN(CC)C(C)=O -68.38088167 1 0 0 0 0 1 1 0 0 0
C6H13NO CCCC(=O)N(C)C -64.31336833 1 0 0 0 0 1 1 0 0 0
C6H13NO2 CC(C)CC(N)C(O)=O -118.0052796 1 0 0 0 0 1 1 0 0 0
C6H13NO2 CC[C@H](C)[C@H](N)C(O)=O -116.3072403 1 0 0 0 0 1 1 0 0 0
C6H13NO2 NCCCCCC(O)=O -109.5244955 1 0 0 0 0 1 1 0 0 0
C6H14 CCCCCC -39.69381685 1 0 0 0 1 0 0 0 0 0
C6H14 CCC(C)(C)C -43.83098369 1 0 0 0 1 0 0 0 0 0
C6H14 CC(C)C(C)C -41.84178016 1 0 0 0 1 0 0 0 0 0
C6H14 CCCC(C)C -41.14336264 1 0 0 0 1 0 0 0 0 0
C6H14 CCC(C)CC -40.51083357 1 0 0 0 1 0 0 0 0 0
C6H14N2 CC(C)N=NC(C)C 6.459766222 1 0 0 0 0 1 0 0 0 0
C6H14N2 CCCN=NCCC 15.47518802 1 0 0 0 0 1 0 0 0 0
C6H14N2O2 NCCCCC(N)C(O)=O -107.6697782 1 0 0 0 0 1 1 0 0 0
C6H14N4O2 NC(CCCN=C(N)N)C(O)=O -90.61127738 1 0 0 0 0 1 1 0 0 1
C6H14O CC(C)C(C)(C)O -84.27555251 1 0 0 0 0 0 1 0 0 0
C6H14O CCCC(C)(C)O -83.82060848 1 0 0 0 0 0 1 0 0 0
C6H14O CCC(C)(O)CC -83.11528836 1 0 0 0 0 0 1 0 0 0
C6H14O CC(C)CC(C)O -80.71883149 1 0 0 0 0 0 1 0 0 0
C6H14O CCC(O)C(C)C -80.39064429 1 0 0 0 0 0 1 0 0 0
C6H14O CCCCC(C)O -79.62069074 1 0 0 0 0 0 1 0 0 0
C6H14O CCCC(O)CC -79.50146403 1 0 0 0 0 0 1 0 0 0
C6H14O CC(C)OC(C)C -76.52769888 1 0 0 0 0 0 1 0 0 0
C6H14O CCOC(C)(C)C -76.22586705 1 0 0 0 0 0 1 0 0 0
C6H14O CCCCCCO -75.38939756 1 0 0 0 0 0 1 0 0 0
C6H14O CCC(C)(C)OC -72.59258994 1 0 0 0 0 0 1 0 0 0
C6H14O CCCOCCC -69.57238913 1 0 0 0 0 0 1 0 0 0
C6H14O2 CC(C)(O)C(C)(C)O -129.0091453 1 0 0 0 0 0 1 0 0 0
C6H14O2 CCCC[C@H](O)CO -116.1847439 1 0 0 0 0 0 1 0 0 0
C6H14O2 OCCCCCCO -111.1257663 1 0 0 0 0 0 1 0 0 0
C6H14O2 CCOC(C)OCC -108.7895503 1 0 0 0 0 0 1 0 0 0
C6H14O2 CCCC(OC)OC -103.8008538 1 0 0 0 0 0 1 0 0 0
C6H14O2 CCOCCOCC -98.88934085 1 0 0 0 0 0 1 0 0 0
C6H14O3 CC(C)(C)OOCCO -99.72114902 1 0 0 0 0 0 1 0 0 0
C6H14S CCSC(C)(C)C -34.61019411 1 0 0 0 0 0 0 1 0 0
C6H14S CCCC(C)(C)S -35.55020259 1 0 0 0 0 0 0 1 0 0
C6H14S CC(C)C(C)(C)S -35.74535789 1 0 0 0 0 0 0 1 0 0
C6H14S CC(C)SC(C)C -34.01468807 1 0 0 0 0 0 0 1 0 0
C6H14S CCCCCCS -30.8934583 1 0 0 0 0 0 0 1 0 0
C6H14S CCCCSCC -29.44516753 1 0 0 0 0 0 0 1 0 0
C6H14S CCCSCCC -29.42445974 1 0 0 0 0 0 0 1 0 0
C6H14S CCCCCSC -29.1364331 1 0 0 0 0 0 0 1 0 0
C6H14S2 CCSSC(C)(C)C -33.34684616 1 0 0 0 0 0 0 1 0 0
C6H14S2 CCCSSCCC -26.35137583 1 0 0 0 0 0 0 1 0 0
C6H14S2 CCSCCSCC -18.68133333 1 0 0 0 0 0 0 1 0 0
C6H15N CCCCCCN -31.19064164 1 0 0 0 0 1 0 0 0 0
C6H15N CC(C)NC(C)C -32.25866196 1 0 0 0 0 1 0 0 0 0
C6H15N CCN(CC)CC -22.12188157 1 0 0 0 0 1 0 0 0 0
C6H15N CCCNCCC -26.99135141 1 0 0 0 0 1 0 0 0 0
C6H15NO3 OCCN(CCO)CCO -133.7919494 1 0 0 0 0 1 1 0 0 0
C6H2Cl4 Clc1cc(Cl)c(Cl)c(Cl)c1 -5.119207882 0 1 1 0 0 0 0 0 1 0
C6H2Cl4 Clc1cc(Cl)c(Cl)cc1Cl -5.086577414 0 1 1 0 0 0 0 0 1 0
C6H2Cl4 Clc1ccc(Cl)c(Cl)c1Cl -3.632639061 0 1 1 0 0 0 0 0 1 0
C6H3Cl3 Clc1cc(Cl)cc(Cl)c1 -1.587079006 0 1 1 0 0 0 0 0 1 0
C6H3Cl3 Clc1ccc(Cl)c(Cl)c1 -0.25424989 0 1 1 0 0 0 0 0 1 0
C6H3Cl3 Clc1cccc(Cl)c1Cl 1.183373229 0 1 1 0 0 0 0 0 1 0
C6H4 C#C\C=C\C#C 125.6883982 1 0 0 0 1 0 0 0 0 0
C6H4Cl2 Clc1ccc(Cl)cc1 5.206841652 0 1 1 0 0 0 0 0 1 0
C6H4Cl2 Clc1cccc(Cl)c1 5.043689312 0 1 1 0 0 0 0 0 1 0
C6H4Cl2 Clc1ccccc1Cl 6.476919868 0 1 1 0 0 0 0 0 1 0
C6H4Cl2O Oc1cc(Cl)ccc1Cl -34.77211549 0 1 1 0 0 0 1 0 1 0
C6H4Cl2O Oc1ccc(Cl)cc1Cl -34.35795955 0 1 1 0 0 0 1 0 1 0
C6H4Cl2O Oc1cccc(Cl)c1Cl -33.42987374 0 1 1 0 0 0 1 0 1 0
C6H4Cl2O Oc1ccc(Cl)c(Cl)c1 -34.65602632 0 1 1 0 0 0 1 0 1 0
C6H4Cl2O Oc1cc(Cl)cc(Cl)c1 -36.51408047 0 1 1 0 0 0 1 0 1 0
C6H4Cl2O Oc1c(Cl)cccc1Cl -36.40803145 0 1 1 0 0 0 1 0 1 0
C6H4N2 N#Cc1cccnc1 65.92410965 0 0 1 1 0 1 0 0 0 0
C6H4N2 N#Cc1ccccn1 66.93502665 0 0 1 1 0 1 0 0 0 0
C6H4N2 N#Cc1ccncc1 66.60934948 0 0 1 1 0 1 0 0 0 0
C6H4N2O o1nc2ccccc2n1 71.63910287 0 0 1 1 0 1 1 0 0 1
C6H4N2O o1nnc2ccccc12 50.21782814 0 0 1 1 0 1 1 0 0 1
C6H5Cl C1=CC=C(C=C1)Cl 12.32016439 0 1 1 0 0 0 0 0 1 0
C6H5NO2 OC(=O)c1cccnc1 -50.65007766 0 0 1 1 0 1 1 0 0 0
C6H5OH Oc1ccccc1  -21.66306354 0 1 1 0 0 0 1 0 0 0
C6H6 c1ccccc1 20.27560421 0 1 1 0 1 0 0 0 0 0
C6H6 C=C1C=CC=C1 51.59771594 0 1 0 0 1 0 0 0 0 0
C6H6 C=C1C=CC1=C 81.01408284 0 1 0 0 1 0 0 0 0 0
C6H6 C=C1C(=C)C1=C 105.2855035 0 1 0 0 1 0 0 0 0 0
C6H6O2 Oc1cccc(O)c1 -63.80629922 0 1 1 0 0 0 1 0 0 0
C6H6O2 Oc1ccc(O)cc1 -61.69410392 0 1 1 0 0 0 1 0 0 0
C6H6O2 Oc1ccccc1O -60.24957821 0 1 1 0 0 0 1 0 0 0
C6H6O3 Oc1cc(O)cc(O)c1 -105.468863 0 1 1 0 0 0 1 0 0 0
C6H6O3 Oc1ccc(O)c(O)c1 -104.5062642 0 1 1 0 0 0 1 0 0 0
C6H6O3 Oc1cccc(O)c1O -102.8634456 0 1 1 0 0 0 1 0 0 0
C6H6O3 COC(=O)c1occc1 -93.20294458 0 0 1 1 0 0 1 0 0 0
C6H6OS OSc1ccccc1 -1.461493971 0 1 1 0 0 0 1 1 0 1
C6H6S Sc1ccccc1 26.90478161 0 1 1 0 0 0 0 1 0 0
C6H7N Cc1ccccn1 23.53594172 0 0 1 1 0 1 0 0 0 0
C6H7N Nc1ccccc1 21.19909821 0 1 1 0 0 1 0 0 0 0
C6H7N Cc1cccnc1 25.2427662 0 0 1 1 0 1 0 0 0 0
C6H7N Cc1ccncc1 24.10948495 0 0 1 1 0 1 0 0 0 0
C6H7N N#CC1=CCCC1 38.10293565 0 1 0 0 0 1 0 0 0 0
C6H7N N#CC1CCC=C1 41.21977285 0 1 0 0 0 1 0 0 0 0
C6H7N [CH2]=[C]1C[CH](C1)C#N 60.43535345 0 1 0 0 0 1 0 0 0 0
C6H7N N#CC12CCC1C2 66.31009271 0 1 0 0 0 1 0 0 0 0
C6H7NO CC1=CC=CC(=O)N1 -26.69588497 0 0 0 1 0 1 1 0 0 0
C6H7NO Nc1ccccc1O -20.86067878 0 1 1 0 0 1 1 0 0 0
C6H7NO Nc1cccc(O)c1 -21.17443328 0 1 1 0 0 1 1 0 0 0
C6H7NO Nc1ccc(O)cc1 -18.79366413 0 1 1 0 0 1 1 0 0 0
C6H7NO Cc1ncccc1O -17.86746085 0 0 1 1 0 1 1 0 0 0
C6H7NO CC1=CC(=O)C=CN1 -17.10252738 0 0 0 1 0 1 1 0 0 0
C6H7NO Cc1ccc(O)cn1 -16.7624175 0 0 1 1 0 1 1 0 0 0
C6H8 C1C=CCC=C1 26.41634017 0 1 0 0 1 0 0 0 0 0
C6H8 C1CC=CC=C1 26.22494992 0 1 0 0 1 0 0 0 0 0
C6H8 C=C1CCC=C1 26.91960239 0 1 0 0 1 0 0 0 0 0
C6H8 C1C=CC2CC12 37.27287338 0 1 0 0 1 0 0 0 0 0
C6H8 C=C\C=C\C=C 40.02261781 1 0 0 0 1 0 0 0 0 0
C6H8 C1C2CC1C=C2 54.86508819 0 1 0 0 1 0 0 0 0 0
C6H8 C\C=C=C=C/C 62.20819851 1 0 0 0 1 0 0 0 0 0
C6H8N2 Cc1nccnc1C 28.53385166 0 0 1 1 0 1 0 0 0 0
C6H8N2 N#CCCCCC#N 36.94811984 1 0 0 0 0 1 0 0 0 0
C6H8N2O2 CN1C=CC(=O)N(C)C1=O -75.70301334 0 0 0 1 0 1 1 0 0 0
C6H8O Cc1oc(C)cc1 -27.31196667 0 0 1 1 0 0 1 0 0 0
C6H8O2 O=C1CCCC(=O)C1 -78.89984031 0 1 0 0 0 0 1 0 0 0
C6H8O2 O=C1CCC(=O)CC1 -77.518693 0 1 0 0 0 0 1 0 0 0
C6H8O2 COC(=O)C12CC1C2 -34.54436664 0 1 0 0 0 0 1 0 0 0
C6H8O4 OC(=O)C1(CCC1)C(O)=O -166.5610551 0 1 0 0 0 0 1 0 0 0
C6H9Cl3O2 CC(C)COC(=O)C(Cl)(Cl)Cl -121.8130747 1 0 0 0 0 0 1 0 1 0
C6H9Cl3O2 CCCCOC(=O)C(Cl)(Cl)Cl -119.3450818 1 0 0 0 0 0 1 0 1 0
C6H9N Cc1[nH]c(C)cc1 9.80472267 0 0 1 1 0 1 0 0 0 0
C6H9N N#CC1CCCC1 13.36897379 0 1 1 0 0 1 0 0 0 0
C6H9N3O2 NC(Cc1[nH]cnc1)C(O)=O -64.45511376 0 0 1 1 0 1 1 0 0 0
C6H9N3O3 CN1C(=O)N(C)C(=O)N(C)C1=O -141.7375984 1 0 0 0 0 1 1 0 0 0
C6H9NO Cc1onc(C)c1C -10.18744531 0 0 1 1 0 1 1 0 0 0
C6H9NO2 CCOC(=O)C(C)C#N -75.00258116 1 0 0 0 0 1 1 0 0 0
C6HCl5 Clc1cc(Cl)c(Cl)c(Cl)c1Cl -8.269811286 0 0 1 1 0 0 0 0 1 0
C6N4 N#CC(C#N)=C(C#N)C#N 164.9793457 1 0 0 0 0 1 0 0 0 0
C7H10 C/C=C1/CCC=C1 20.56617161 0 1 0 0 1 0 0 0 0 0
C7H10 CC1(C)C=CC=C1 19.3036235 0 1 0 0 1 0 0 0 0 0
C7H10 C=C1CCCC1=C 23.08436522 0 1 0 0 1 0 0 0 0 0
C7H10 C1CC2C=CCC12 29.0927639 0 1 0 0 1 0 0 0 0 0
C7H10 C1CC2C=CC2C1 66.7922496 0 1 0 0 1 0 0 0 0 0
C7H10 C1C2CC2C3CC13 42.95318269 0 1 0 0 1 0 0 0 0 0
C7H10 C1CC2=C(C1)CC2 43.84424547 0 1 0 0 1 0 0 0 0 0
C7H10 C=CC1(CC1)C=C 48.35854522 0 1 0 0 1 0 0 0 0 0
C7H10 C1C=CCC2CC12 55.75813135 0 1 0 0 1 0 0 0 0 0
C7H10 C1CC2C1C3CC23 112.6004066 0 1 0 0 1 0 0 0 0 0
C7H10 C1CC12CC23CC3 74.51312034 0 1 0 0 1 0 0 0 0 0
C7H10N2 Cc1cnc(C)c(C)n1 18.60361958 0 0 1 1 0 1 0 0 0 0
C7H10N2 CC(C)(C)C(C#N)C#N 30.94358406 1 0 0 0 0 1 0 0 0 0
C7H10N2 CN(N)c1ccccc1 50.13845686 0 1 1 0 0 1 0 0 0 1
C7H10O O=C1CC2CCC1C2 -40.23165162 0 1 0 0 0 0 1 0 0 0
C7H10O O=C1C2CCC1CC2 -34.34436219 0 1 0 0 0 0 1 0 0 0
C7H10O C1CC2CC1C3OC23 -12.54846458 0 0 0 1 0 0 1 0 0 0
C7H10O CC(C)(O)C#CC=C 9.530439584 1 0 0 0 0 0 1 0 0 0
C7H10O2 O=C1OC2CCC1CC2 -93.96999861 0 0 0 1 0 0 1 0 0 0
C7H10O2 CCOC(=O)C(=C)C=C -63.28355349 1 0 0 0 0 0 1 0 0 0
C7H10O2 CCOC(=O)C#CCC -48.62306072 1 0 0 0 0 0 1 0 0 0
C7H10O2 CCOC(=O)CC#CC -52.1772717 1 0 0 0 0 0 1 0 0 0
C7H10O2 CCOC(=O)CCC#C -50.71392071 1 0 0 0 0 0 1 0 0 0
C7H10O2 CC(C)(OO)C#CC=C 27.60108502 1 0 0 0 0 0 1 0 0 0
C7H10O3 C1C2CC3CC1OC(O2)O3 -122.5791202 0 0 0 1 0 0 1 0 0 1
C7H10O3 CC(=C)C(=O)OCC1CO1 -89.36946137 0 0 0 1 0 0 1 0 0 0
C7H10O6 COC(=O)C(C(=O)OC)C(=O)OC -258.6404629 1 0 0 0 0 0 1 0 0 0
C7H10S3 S=C1SC2CCCCC2S1 11.84368599 0 0 0 1 0 0 0 1 0 1
C7H11Cl3O2 CC(C)CCOC(=O)C(Cl)(Cl)Cl -125.7982865 1 0 0 0 0 0 1 0 1 0
C7H11N N#CC1CCCCC1 1.706189362 0 1 0 0 0 1 0 0 0 0
C7H11N Cn1c(C)ccc1C 7.280351809 0 0 1 1 0 1 0 0 0 0
C7H11NO CN(C)\C=C\C=C\C=O -3.818131114 1 0 0 0 0 1 1 0 0 0
C7H12 CC1=CCCCC1 -9.368584843 0 1 0 0 1 0 0 0 0 0
C7H12 C1CC2CCC1C2 -13.06649538 0 1 0 0 1 0 0 0 0 0
C7H12 CC1=C(C)CCC1 -8.862812589 0 1 0 0 1 0 0 0 0 0
C7H12 CCC1=CCCC1 -4.748863585 0 1 0 0 1 0 0 0 0 0
C7H12 CC12CCCC1C2 3.935233466 0 1 0 0 1 0 0 0 0 0
C7H12 C1CCC2CC2C1 29.70765561 0 1 0 0 1 0 0 0 0 0
C7H12 CCCC#CCC 21.4032015 1 0 0 0 1 0 0 0 0 0
C7H12Cl2O2 CC(C)CCOC(=O)C(Cl)Cl -125.2712982 1 0 0 0 0 0 1 0 1 1
C7H12N2 N#CCN1CCCCC1 23.31489004 0 0 0 1 0 1 0 0 0 0
C7H12O O=C1CCCCCC1 -53.74512505 0 1 0 0 0 0 1 0 0 0
C7H12O OC1C2CCC1CC2 -52.87414256 0 1 0 0 0 0 1 0 0 0
C7H12O COC1=CCCCC1 -36.28531464 0 1 0 0 0 0 1 0 0 0
C7H12O C1CCC2OC2CC1 -28.11451995 0 0 0 1 0 0 1 0 0 0
C7H12O C1CC2CCC(C1)O2 -47.68903569 0 0 0 1 0 0 1 0 0 0
C7H12O2 CC(C)C(=O)CC(C)=O -98.79749246 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCC(C(C)=O)C(C)=O -99.2536915 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCC(=O)CC(=O)CC -98.2634823 1 0 0 0 0 0 1 0 0 0
C7H12O2 C/C=C/C(=O)OC(C)C -98.24779457 1 0 0 0 0 0 1 0 0 0
C7H12O2 O=C1CCCCCCO1 -97.74515986 0 0 0 1 0 0 1 0 0 0
C7H12O2 CCCOC(=O)\C=C\C -93.94371034 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCOC(=O)\C=C\CC -93.67639151 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCOC(=O)\C=C\CC -93.675764 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCOC(=O)C\C=C\C -92.30089178 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCOC(=O)C\C=C\C -92.30151929 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCOC(=O)CCC=C -90.61226506 1 0 0 0 0 0 1 0 0 0
C7H12O2 CCCCOC(=O)C=C -90.20124667 1 0 0 0 0 0 1 0 0 0
C7H12O3 CC12COC(C)(OC1)OC2 -133.7714378 0 0 0 1 0 0 1 0 0 1
C7H12O3 CCCC(=O)OCC1CO1 -115.8905689 0 0 0 1 0 0 1 0 0 0
C7H12O4 COC(=O)C(C)(C)C(=O)OC -192.4796561 1 0 0 0 0 0 1 0 0 0
C7H13ClO2 CCCOC(=O)C(Cl)CC -126.0683539 1 0 0 0 0 0 1 0 1 0
C7H13ClO2 CC(C)COC(=O)C(C)Cl -127.7682758 1 0 0 0 0 0 1 0 1 0
C7H13ClO2 CCCOC(=O)CCCCl -127.0861735 1 0 0 0 0 0 1 0 1 0
C7H13ClO2 CCCOC(=O)CC(C)Cl -129.9865201 1 0 0 0 0 0 1 0 1 0
C7H13ClO2 CC(C)COC(=O)CCCl -128.5777624 1 0 0 0 0 0 1 0 1 0
C7H13ClO2 CCCCOC(=O)C(C)Cl -125.5682292 1 0 0 0 0 0 1 0 1 0
C7H13ClO2 CC(C)CCOC(=O)CCl -123.1065114 1 0 0 0 0 0 1 0 1 0
C7H13ClO2 CCCCOC(=O)CCCl -126.3501055 1 0 0 0 0 0 1 0 1 0
C7H13N CCCCCCC#N -7.200740498 1 0 0 0 0 1 0 0 0 0
C7H13N C1CN2CCC1CC2 -0.118046415 0 0 0 1 0 1 0 0 0 0
C7H13N C1CC2CCCN2C1 -0.289356372 0 0 0 1 0 1 0 0 0 0
C7H14 CC1CCCCC1 -34.34790272 0 1 0 0 1 0 0 0 0 0
C7H14 CC1(C)CCCC1 -32.78352278 0 1 0 0 1 0 0 0 0 0
C7H14 C[C@@H]1CCC[C@H]1C -32.18111414 0 1 0 0 1 0 0 0 0 0
C7H14 C[C@@H]1CC[C@@H](C)C1 -31.51909215 0 1 0 0 1 0 0 0 0 0
C7H14 C[C@@H]1CC[C@H](C)C1 -31.81715892 0 1 0 0 1 0 0 0 0 0
C7H14 C[C@H]1CCC[C@H]1C -30.2257961 0 1 0 0 1 0 0 0 0 0
C7H14 CCC1CCCC1 -29.47843288 0 1 0 0 1 0 0 0 0 0
C7H14 CCC(C)C(C)=C -18.94757684 1 0 0 0 1 0 0 0 0 0
C7H14 CC(C)C=C(C)C -21.23359213 1 0 0 0 1 0 0 0 0 0
C7H14 C/C=C/C(C)(C)C -21.56428937 1 0 0 0 1 0 0 0 0 0
C7H14 CCCC=C(C)C -19.38432311 1 0 0 0 1 0 0 0 0 0
C7H14 CC(=C)C(C)(C)C -20.94870304 1 0 0 0 1 0 0 0 0 0
C7H14 CC(C)CC(C)=C -20.57094263 1 0 0 0 1 0 0 0 0 0
C7H14 CCC(=C)C(C)C -18.43490199 1 0 0 0 1 0 0 0 0 0
C7H14 CC\C=C(C)/CC -18.6520201 1 0 0 0 1 0 0 0 0 0
C7H14 CC(C)(C)CC=C -19.71000028 1 0 0 0 1 0 0 0 0 0
C7H14 CC/C=C(C)/CC -18.54220603 1 0 0 0 1 0 0 0 0 0
C7H14 CCCC\C=C\C -17.14913605 1 0 0 0 1 0 0 0 0 0
C7H14 CCC\C=C\CC -16.90440754 1 0 0 0 1 0 0 0 0 0
C7H14 C\C=C/C(C)(C)C -17.37064673 1 0 0 0 1 0 0 0 0 0
C7H14 CCCC\C=C/C -15.83136715 1 0 0 0 1 0 0 0 0 0
C7H14 CCC\C=C/CC -15.49376731 1 0 0 0 1 0 0 0 0 0
C7H14 CCCCCC=C -14.78028957 1 0 0 0 1 0 0 0 0 0
C7H14 CCC1CC1CC -11.4701796 0 1 0 0 1 0 0 0 0 0
C7H14N2 CC1(C)CC(C)(C)N=N1 7.594467454 0 0 0 1 0 1 0 0 0 0
C7H14O CC(=O)CC(C)(C)C -75.38672256 1 0 0 0 0 0 1 0 0 0
C7H14O CCC(=O)C(C)(C)C -74.89036294 1 0 0 0 0 0 1 0 0 0
C7H14O CC(C)C(=O)C(C)C -74.12229193 1 0 0 0 0 0 1 0 0 0
C7H14O CCC(C)(C)C(C)=O -73.48788033 1 0 0 0 0 0 1 0 0 0
C7H14O C[C@H]1CCCC[C@H]1O -74.35384275 0 0 0 1 0 0 1 0 0 0
C7H14O CCCCCCC=O -64.64125844 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCC(C)(C)OC(C)=O -126.1406367 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCCCCCC(O)=O -122.5130072 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCOC(=O)CC(C)C -122.8882576 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCOC(=O)C(C)(C)C -124.7582344 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCOC(=O)C(C)CC -122.2212155 1 0 0 0 0 0 1 0 0 0
C7H14O2 CC(C)CCOC(C)=O -122.0191576 1 0 0 0 0 0 1 0 0 0
C7H14O2 COC(=O)CC(C)(C)C -122.6661194 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCCCC(=O)OCC -121.0490287 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCCCOC(=O)CC -120.7497069 1 0 0 0 0 0 1 0 0 0
C7H14O2 CCCCCC(=O)OC -118.2377884 1 0 0 0 0 0 1 0 0 0
C7H14O2 CC1CC(C)OC(C)O1 -110.1673951 0 0 0 1 0 0 1 0 0 0
C7H14O2 CC(C)(C)OCC1CO1 -77.55951747 0 0 0 1 0 0 1 0 0 0
C7H14O2 CC(C)COCC1CO1 -72.9529739 0 0 0 1 0 0 1 0 0 0
C7H14O2 CCCCOCC1CO1 -70.65001587 0 0 0 1 0 0 1 0 0 0
C7H14O3 CC(C)(O)C(C)(C)OC=O -158.352915 1 0 0 0 0 0 1 0 0 1
C7H14O3 CC(C)(C)OOCC1CO1 -63.77350349 0 0 0 1 0 0 1 0 0 0
C7H14S CC(C)(C)SCC=C -9.475156157 1 0 0 0 0 0 0 1 0 0
C7H15NO CN(C)C(=O)C(C)(C)C -67.87124652 1 0 0 0 0 1 1 0 0 0
C7H15NO CCN(CC)CC(C)=O -53.71150593 1 0 0 0 0 1 1 0 0 0
C7H16 CCCCCCC -44.7344988 1 0 0 0 1 0 0 0 0 0
C7H16 CC(C)C(C)(C)C -48.71165084 1 0 0 0 1 0 0 0 0 0
C7H16 CC(C)CC(C)C -47.95675752 1 0 0 0 1 0 0 0 0 0
C7H16 CCC(C)C(C)C -45.67011472 1 0 0 0 1 0 0 0 0 0
C7H16 CCCC(C)CC -45.53080772 1 0 0 0 1 0 0 0 0 0
C7H16 CCC(CC)CC -44.70814342 1 0 0 0 1 0 0 0 0 0
C7H16O CCCCC(C)(C)O -88.95478927 1 0 0 0 0 0 1 0 0 0
